"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that a Yes/No element works correctly in the preview mode.","6102","Preview: Yes/No element","tests","Thu Mar 05 18:27:54 IST 2026","passed","Thu Mar 05 18:28:00 IST 2026","TestPreviewPage","test_preview_page","",""
"This test verifies that the answer layout of a 'Single Choice' element can be changed.","1791","Editor Page: Change 'Single Choice' Answer Layout","tests","Thu Mar 05 18:24:54 IST 2026","passed","Thu Mar 05 18:24:56 IST 2026","TestEditorPage","test_editor_page","",""
"This test verifies the search functionality for funnels on the dashboard.","12713","Project Dashboard: Search for a Funnel","tests","Thu Mar 05 18:30:01 IST 2026","passed","Thu Mar 05 18:30:13 IST 2026","TestProjectPage","test_project_page","",""
"Verify that the user can change the default language of the funnel.","4923","Change funnel language to 'Finnish'","tests","Thu Mar 05 18:16:25 IST 2026","passed","Thu Mar 05 18:16:30 IST 2026","TestConfigure","test_configure_page","",""
"This test deletes all existing workspaces to ensure a clean test environment for subsequent runs.","15255","Cleanup: Delete All Workspaces","tests","Thu Mar 05 18:15:19 IST 2026","passed","Thu Mar 05 18:15:34 IST 2026","","test_00_cleanup","",""
"This test deletes all existing workspaces to ensure a clean test environment for subsequent runs.","0","Cleanup: Delete All Workspaces","","Thu Mar 05 17:29:36 IST 2026","skipped","Thu Mar 05 17:29:36 IST 2026","","","",""
"This test verifies that an element can be added to the canvas via drag and drop.","4668","Editor Page: Drag and Drop Element","tests","Thu Mar 05 18:26:22 IST 2026","passed","Thu Mar 05 18:26:26 IST 2026","TestEditorPage","test_editor_page","",""
"This test verifies that funnels on the dashboard can be sorted by name in descending order.","14663","Project Dashboard: Sort Funnels by Name (Descending)","tests","Thu Mar 05 18:28:57 IST 2026","passed","Thu Mar 05 18:29:11 IST 2026","TestProjectPage","test_project_page","",""
"This test verifies that all funnels within a workspace can be deleted.","16581","Project Dashboard: Delete All Funnels in a Workspace","tests","Thu Mar 05 18:32:51 IST 2026","passed","Thu Mar 05 18:33:08 IST 2026","TestProjectPage","test_project_page","",""
"This test verifies that a workspace can be renamed.","1791","Project Dashboard: Change Workspace Name","tests","Thu Mar 05 18:29:37 IST 2026","passed","Thu Mar 05 18:29:39 IST 2026","TestProjectPage","test_project_page","",""
"This test verifies that the min, max, and start values of a 'Slider' element can be changed.","3014","Editor Page: Change 'Slider' Element Range","tests","Thu Mar 05 18:26:06 IST 2026","passed","Thu Mar 05 18:26:09 IST 2026","TestEditorPage","test_editor_page","",""
"This test verifies that the name of a funnel page can be edited.","2083","Editor Page: Edit Funnel Page Name","tests","Thu Mar 05 18:27:17 IST 2026","passed","Thu Mar 05 18:27:19 IST 2026","TestEditorPage","test_editor_page","",""
"Verify that the user can change the URL of the funnel.","3058","Change funnel URL to 'new url'","tests","Thu Mar 05 18:40:17 IST 2026","passed","Thu Mar 05 18:40:20 IST 2026","TestConfigure","test_configure_page","",""
"This test verifies that the number of templates displayed matches the count in the category menu.","2270","Category 'Industry' -> 'creator economy' count matches items","tests","Thu Mar 05 18:40:42 IST 2026","passed","Thu Mar 05 18:40:44 IST 2026","TestTemplatesPage","test_templates_page","",""
"This test verifies the search and filtering functionality on the templates page.","4371","Search and select template: 'Giveaway'","tests","Thu Mar 05 18:37:40 IST 2026","passed","Thu Mar 05 18:37:44 IST 2026","TestTemplatesPage","test_templates_page","",""
"Verify that Slider and Yes/No elements work correctly in the preview mode.","6883","Preview: Slider and Yes/No elements","tests","Thu Mar 05 18:27:36 IST 2026","passed","Thu Mar 05 18:27:43 IST 2026","TestPreviewPage","test_preview_page","",""
"This test verifies adding two elements and then deleting one, checking the element count at each step.","3481","Editor Page: Add and Delete Two Elements","tests","Thu Mar 05 18:19:39 IST 2026","passed","Thu Mar 05 18:19:42 IST 2026","TestEditorPage","test_editor_page","",""
"This test verifies that the number of templates displayed matches the count in the category menu.","6681","Category 'Industry' -> 'ecommerce & retail' count matches items","tests","Thu Mar 05 18:40:52 IST 2026","passed","Thu Mar 05 18:40:59 IST 2026","TestTemplatesPage","test_templates_page","",""
"This test verifies that the project dashboard page has the correct title.","29","Project Dashboard: Assert Page Title","tests","Thu Mar 05 18:28:43 IST 2026","passed","Thu Mar 05 18:28:43 IST 2026","TestProjectPage","test_project_page","",""
"Verify that the user can change the default language of the funnel.","4956","Change funnel language to 'Thai'","tests","Thu Mar 05 18:36:57 IST 2026","passed","Thu Mar 05 18:37:02 IST 2026","TestConfigure","test_configure_page","",""
"Verify that Multiple Image Choice and Rating elements work correctly in the preview mode.","6321","Preview: Multiple Image Choice and Rating elements","tests","Thu Mar 05 18:28:30 IST 2026","passed","Thu Mar 05 18:28:36 IST 2026","TestPreviewPage","test_preview_page","",""
"This test verifies that the question type of an element can be changed.","5151","Editor Page: Change Question Type","tests","Thu Mar 05 18:21:46 IST 2026","passed","Thu Mar 05 18:21:52 IST 2026","TestEditorPage","test_editor_page","",""
"Verify that the user can change the URL of the funnel.","2867","Change funnel URL to '1234'","tests","Thu Mar 05 18:36:40 IST 2026","passed","Thu Mar 05 18:36:43 IST 2026","TestConfigure","test_configure_page","",""
"This test verifies that the question of a 'Short Answer' element can be used as a placeholder.","1475","Editor Page: Use 'Short Answer' Question as Placeholder","tests","Thu Mar 05 18:25:11 IST 2026","passed","Thu Mar 05 18:25:12 IST 2026","TestEditorPage","test_editor_page","",""
"This test verifies that the description text of a 'Single Choice' element can be edited.","1588","Editor Page: Edit 'Single Choice' Description","tests","Thu Mar 05 18:22:57 IST 2026","passed","Thu Mar 05 18:22:59 IST 2026","TestEditorPage","test_editor_page","",""
"Verify that the user can change the URL of the funnel.","0","test_change_url[chromium-data0]","","Thu Mar 05 16:37:26 IST 2026","skipped","Thu Mar 05 16:37:26 IST 2026","","","",""
"This test verifies that a workspace can be deleted.","1801","Project Dashboard: Delete Workspace","tests","Thu Mar 05 18:29:49 IST 2026","passed","Thu Mar 05 18:29:50 IST 2026","TestProjectPage","test_project_page","",""
"This test navigates to a specific funnel and edits the text block of a 'Single Choice' element.","1435","Editor Page: Edit Text Block of a 'Single_choice' Element","tests","Thu Mar 05 18:22:42 IST 2026","passed","Thu Mar 05 18:22:44 IST 2026","TestEditorPage","test_editor_page","",""
"This test verifies that the number of templates displayed matches the count in the category menu.","3194","Category 'Industry' -> 'software' count matches items","tests","Thu Mar 05 18:34:49 IST 2026","passed","Thu Mar 05 18:34:52 IST 2026","TestTemplatesPage","test_templates_page","",""
"Verify that Dropdown and Short Answer elements work correctly in the preview mode.","6508","Preview: Dropdown and Short Answer elements","tests","Thu Mar 05 18:28:12 IST 2026","passed","Thu Mar 05 18:28:18 IST 2026","TestPreviewPage","test_preview_page","",""
"This test verifies that a template can be previewed correctly.","4770","Preview template: 'Giveaway'","tests","Thu Mar 05 18:38:17 IST 2026","passed","Thu Mar 05 18:38:21 IST 2026","TestTemplatesPage","test_templates_page","",""
"This test covers creating a funnel and manipulating its pages (add, rename).","11864","E2E Workflow: Funnel Page Manipulation","tests","Thu Mar 05 18:17:02 IST 2026","passed","Thu Mar 05 18:17:14 IST 2026","TestE2E","test_e2e","",""
"Verify that the user can successfully change the name of the funnel.","6212","Change funnel name to '!@#'","tests","Thu Mar 05 18:35:49 IST 2026","passed","Thu Mar 05 18:35:55 IST 2026","TestConfigure","test_configure_page","",""
"This test deletes all existing workspaces to ensure a clean test environment for subsequent runs.","4202","Cleanup: Delete All Workspaces","","Thu Mar 05 18:13:05 IST 2026","passed","Thu Mar 05 18:13:09 IST 2026","","","",""
"This test verifies that a page can be deleted from a funnel.","1804","Editor Page: Delete Funnel Page","tests","Thu Mar 05 18:27:00 IST 2026","passed","Thu Mar 05 18:27:02 IST 2026","TestEditorPage","test_editor_page","",""
"This test verifies the full workflow of publishing a funnel and checking its status on the dashboard.","18069","Project Dashboard: Publish a Funnel","tests","Thu Mar 05 18:34:13 IST 2026","passed","Thu Mar 05 18:34:31 IST 2026","TestProjectPage","test_project_page","",""
"This test verifies the search and filtering functionality on the templates page.","2674","Search and select template: 'Solar Installation Readiness Quiz'","tests","Thu Mar 05 18:39:24 IST 2026","passed","Thu Mar 05 18:39:26 IST 2026","TestTemplatesPage","test_templates_page","",""
"This test verifies that a new page can be added to a funnel.","1184","Editor Page: Add Funnel Page","tests","Thu Mar 05 18:26:47 IST 2026","passed","Thu Mar 05 18:26:48 IST 2026","TestEditorPage","test_editor_page","",""
"This test verifies that a funnel can be moved from one workspace to another.","23928","Project Dashboard: Move Funnel to Another Workspace","tests","Thu Mar 05 18:30:53 IST 2026","passed","Thu Mar 05 18:31:16 IST 2026","TestProjectPage","test_project_page","",""
"This test covers the end-to-end workflow of creating a workspace, adding a funnel from scratch, adding elements to it, and publishing it.","17634","E2E Workflow: Create Workspace, Funnel, and Publish","tests","Thu Mar 05 18:16:37 IST 2026","passed","Thu Mar 05 18:16:55 IST 2026","TestE2E","test_e2e","",""
"This test verifies that a new funnel can be created from scratch in a workspace.","11138","Project Dashboard: Create New Funnel from Scratch","tests","Thu Mar 05 18:31:31 IST 2026","passed","Thu Mar 05 18:31:42 IST 2026","TestProjectPage","test_project_page","",""
"This test verifies that a template can be previewed correctly.","3678","Preview template: 'Solar Installation Readiness Quiz'","tests","Thu Mar 05 18:39:47 IST 2026","passed","Thu Mar 05 18:39:51 IST 2026","TestTemplatesPage","test_templates_page","",""
"This test verifies that the number of templates displayed matches the count in the category menu.","17129","Category 'Department' -> 'marketing' count matches items","tests","Thu Mar 05 18:37:52 IST 2026","passed","Thu Mar 05 18:38:09 IST 2026","TestTemplatesPage","test_templates_page","",""
"This test verifies that the editor page has the correct title.","14","Editor Page: Assert Page Title","tests","Thu Mar 05 18:18:00 IST 2026","passed","Thu Mar 05 18:18:00 IST 2026","TestEditorPage","test_editor_page","",""
"This test verifies adding multiple different elements and then deleting all of them.","7066","Editor Page: Add and Delete Multiple Elements","tests","Thu Mar 05 18:19:55 IST 2026","passed","Thu Mar 05 18:20:02 IST 2026","TestEditorPage","test_editor_page","",""
"This test verifies that a template can be previewed correctly.","3461","Preview template: 'Expert Contribution Form for Online Magazines and News Websites'","tests","Thu Mar 05 18:35:00 IST 2026","passed","Thu Mar 05 18:35:03 IST 2026","TestTemplatesPage","test_templates_page","",""
"Verify that the user can successfully change the name of the funnel.","6705","Change funnel name to '1234567890'","tests","Thu Mar 05 18:38:34 IST 2026","passed","Thu Mar 05 18:38:41 IST 2026","TestConfigure","test_configure_page","",""
"Verify that the user can change the URL of the funnel.","2897","Change funnel URL to 'funnel-00'","tests","Thu Mar 05 18:38:55 IST 2026","passed","Thu Mar 05 18:38:58 IST 2026","TestConfigure","test_configure_page","",""
"This test verifies that a template can be previewed correctly.","0","Template Preview","","Thu Mar 05 17:26:15 IST 2026","skipped","Thu Mar 05 17:26:15 IST 2026","","","",""
